epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.656,0.75084,2.84066,1.24533,0.2884,1,0.29265,0.26807,0.3932,3.49045,0.9446,0,0,0
2,33.3879,0.73818,2.31167,1.18057,0.29006,1,0.33167,0.31044,0.37326,3.08438,0.92871,1.604e-05,1.604e-05,1.604e-05
3,49.42,0.65313,2.17358,1.14889,0.37513,1,0.43083,0.41428,0.35307,2.74606,0.92142,2.416e-05,2.416e-05,2.416e-05
4,65.6922,0.75877,2.1373,1.43184,0.50716,1,0.76722,0.72806,0.33433,2.65639,0.91046,2.436e-05,2.436e-05,2.436e-05
5,81.5453,0.74883,1.63955,1.25881,0.79858,1,0.92833,0.88853,0.32287,2.70965,0.90407,1.664e-05,1.664e-05,1.664e-05
