epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3462,0.65466,2.90691,1.15451,0.16657,0.58857,0.24573,0.21016,0.57553,2.29768,1.13367,0.000158232,0.000158232,0.000158232
2,158.602,0.6237,2.02575,1.11852,0.30915,0.54385,0.36488,0.31102,0.56383,1.79748,1.12048,0.000301212,0.000301212,0.000301212
3,240.486,0.6363,1.83426,1.11908,0.39197,0.53156,0.47154,0.39967,0.58265,1.59009,1.11967,0.000428484,0.000428484,0.000428484
4,326.113,0.61661,1.71912,1.10357,0.47365,0.5759,0.54715,0.46967,0.56811,1.48637,1.11223,0.000405314,0.000405314,0.000405314
5,410.737,0.59752,1.57783,1.08825,0.42787,0.62866,0.54899,0.47451,0.5522,1.40471,1.09486,0.000381752,0.000381752,0.000381752
6,498.018,0.58955,1.49992,1.0817,0.48103,0.60121,0.60905,0.52994,0.52598,1.31406,1.06632,0.00035819,0.00035819,0.00035819
7,588.535,0.55433,1.3775,1.06345,0.52551,0.61402,0.62942,0.55621,0.50748,1.24471,1.04452,0.000334628,0.000334628,0.000334628
8,687.688,0.55776,1.3197,1.06252,0.61805,0.69683,0.7126,0.6357,0.49686,1.07733,1.04229,0.000311066,0.000311066,0.000311066
9,782.257,0.53739,1.23218,1.0477,0.67325,0.69846,0.73105,0.64503,0.52209,0.97457,1.06389,0.000287504,0.000287504,0.000287504
10,876.942,0.53246,1.17645,1.04965,0.66397,0.73924,0.7673,0.68612,0.48657,0.93392,1.01901,0.000263942,0.000263942,0.000263942
11,986.532,0.4277,0.94746,1.00095,0.69498,0.70144,0.75805,0.67824,0.50097,0.98968,1.03631,0.00024038,0.00024038,0.00024038
12,1078.82,0.41806,0.88432,0.9986,0.68963,0.69075,0.73224,0.65612,0.48739,1.06164,1.02703,0.000216818,0.000216818,0.000216818
13,1175.76,0.40574,0.82452,0.98203,0.68089,0.71371,0.74879,0.67131,0.48337,0.98435,1.02447,0.000193256,0.000193256,0.000193256
14,1273.12,0.39503,0.72358,0.97072,0.71877,0.74982,0.79889,0.7266,0.46147,0.87076,1.00774,0.000169694,0.000169694,0.000169694
15,1368.43,0.38229,0.65226,0.96566,0.79824,0.70994,0.80543,0.72954,0.46321,0.84597,1.00498,0.000146132,0.000146132,0.000146132
16,1459.96,0.37233,0.58572,0.95511,0.8362,0.68183,0.81729,0.74438,0.457,0.80639,1.00275,0.00012257,0.00012257,0.00012257
17,1554.53,0.36169,0.51711,0.9523,0.77445,0.74993,0.82522,0.75086,0.44902,0.78549,0.99563,9.9008e-05,9.9008e-05,9.9008e-05
18,1648.26,0.35426,0.47782,0.95236,0.80759,0.74894,0.83849,0.76469,0.45095,0.77349,0.9951,7.5446e-05,7.5446e-05,7.5446e-05
19,1741.04,0.34765,0.43091,0.93915,0.79159,0.76386,0.83718,0.76488,0.44991,0.77088,0.99214,5.1884e-05,5.1884e-05,5.1884e-05
20,1833.52,0.33837,0.38009,0.93633,0.82751,0.77151,0.85203,0.78006,0.44534,0.72933,0.99366,2.8322e-05,2.8322e-05,2.8322e-05
